scaffold_rank,scaffold_smiles,n_compounds,mean_pic50,std_pic50,pic50_range,n_patent_compounds,contains_patent,patent_exclusive_scaffold,representative_inchikey,representative_smiles,representative_pic50,representative_mw,scaffold_family,scaffold_class,reasoning,annotation_confidence
11,O=C(/C=C/c1cccnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,28,5.231,0.526,1.669,0,False,False,XWGPJMUSEINBJS-FMIVXFBMSA-N,N#CCCn1c(=O)c(C(=O)/C=C/c2cccnc2)c(-c2ccccc2)c2cc(F)ccc21,5.824,423.4,chalcone-oxindole derivatives,enone_warhead,SMARTS: chalcone_enone; pyridine aryl vs pyrimidine rank 10; same 3-phenyloxindole core; Michael acceptor series,0.95
12,O=C(/C=C/c1cccnc1)C1C(=O)NC2CCCCC2C1c1ccccc1,27,5.209,0.522,1.669,27,True,True,HXGCRARCNKEOSY-XYOKQWHBSA-N,CN(C)CCOc1ccc(/C=C/C(=O)C2C(=O)NC3CCC(F)CC3C2c2ccccc2)cn1,5.824,465.6,chalcone-bicyclic lactam derivatives,enone_warhead,SMARTS: chalcone_enone; pyridine aryl; phenyl-substituted trans-decalin bicyclic gamma-lactam; distinct from oxindole series,0.9
13,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,27,6.965,0.316,1.217,0,False,False,IYSAQIFLXITNPE-JWQCQUIFSA-N,COCCOC(=O)Nc1ccc(-c2ccc3cc(-c4nc5cc(C(=O)N6C[C@H](N)C[C@@H](F)C6)cc(OC)c5n4C)n(CC4CC4)c3n2)cn1,7.444,670.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; 3-pyridyl on azaindole; piperidyl amide; same core family as rank 2 different aryl,0.95
14,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccccc3)nc2c1)N1CCCCC1,23,5.764,0.32,0.74,0,False,False,DUVCPNSLXBKGOK-XMMPIXPASA-N,Cc1c(-c2cc3ccccc3n2Cc2ccc(F)cc2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccn12,6.0,481.6,"imidazo[1,2-a]pyridine-N-benzylindole biaryl amide derivatives",biaryl_heteroaromatic,"left=imidazo[1,2-a]pyridine (c1ccn2...nc2 fused bicyclic distinct from azaindole-BIM); right=N-benzylindol-2-yl; piperidyl amide",0.87
15,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,22,6.824,0.664,2.087,0,False,False,QKTGQAATUHYPAK-CDHPUSFOSA-N,Cc1c(-c2cc3ccc(-c4ccc(C(N)=O)c(F)c4)nc3n2CC2CC2)nn2cc(C(=O)N3CC4CCC3[C@@H]4N)ccc12,7.721,577.7,indazole-azaindole biaryl amide derivatives,biaryl_heteroaromatic,left=indazole nn-fused benzene; right=azaindole SMARTS imidazopyridine; 5-phenyl on azaindole; azabicyclic N-amide,0.92
16,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,20,7.034,0.236,0.713,0,False,False,MLKSQWMPAPSVGM-XKKAILOKSA-N,COc1c(F)cc(-c2ccc3cc(-c4nc5cc(C(=O)N6C[C@H]7CC[C@@H]6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3c2)cc1F,7.444,611.7,indole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH + N-alkylindole; 5-phenyl; chiral azabicyclic N-amide @@ stereocenters; stereodefined variant of rank 6,0.93
17,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5[nH]4)nc3cc21,19,6.195,0.316,1.26,0,False,False,UDCZJAWDUZQVMO-QGZVFWFLSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H](N)CF)C5=O)n(CCOC(F)F)c12,7.26,515.5,benzimidazolyl-dihydroisoquinolinone derivatives,tricyclic_lactam,benzimidazole_NH + dihydroisoquinolinone lactam fused tricycle; right=free NH-indole unalkylated; SMARTS: BIM+indole+oxindole+lactam,0.9
18,O=C(/C=C/c1cncnc1)C1C(=O)NC2CCCCC2C1c1ccccc1,18,4.645,0.571,1.669,18,True,True,PIWUSUPJFLFMBI-RMKNXTFCSA-N,O=C(/C=C/c1cncnc1)C1C(=O)NC2CC(F)CCC2C1c1ccccc1,5.824,379.4,chalcone-bicyclic lactam derivatives,enone_warhead,SMARTS: chalcone_enone; pyrimidine aryl vs pyridine rank 12; same trans-decalin bicyclic lactam; Michael acceptor,0.9
19,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,18,6.732,0.416,1.285,0,False,False,UQVKHZQRAXXEEB-ZGFBMJKBSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cn2nc(-c3cc4ccc(N5C[C@H](N)C[C@@H](F)C5)cc4n3CC3CC3)c(C)c12,7.377,591.7,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole left + N-cyclopropylmethylindole right bearing piperidyl-N pendant; piperidyl amide; indazole-indole series,0.88
20,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1,16,6.855,0.114,0.368,0,False,False,CJNSBDCTRLIGJH-WZONZLPQSA-N,COc1cc(C(=O)N2C[C@H](N)CCN2C)cc2nc(-c3cc4ccc([C@@H](C)NC(=O)c5c(F)cc(F)cc5F)nc4n3CC3CC3)n(C)c12,7.058,674.7,bis-benzimidazolyl biaryl diamide derivatives,biaryl_diamide,two BIM: N-alkyl left + NH right; benzylamine-amide linker; piperazine amide on right; phenylcarbonyl on left; SMARTS: BIM_NH+Nalk+imidazopyridine,0.88
21,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CCCCC1,16,6.62,0.312,1.183,0,False,False,VVOVQVNRQICVNQ-JOCHJYFZSA-N,Cc1c(-c2cc3ccc(-c4cccc(O)c4F)nc3n2CC2CC2)nn2cc(C(=O)N3CCC[C@@H](N)C3)ccc12,7.398,538.6,indazole-azaindole biaryl amide derivatives,biaryl_heteroaromatic,left=indazole; right=azaindole SMARTS: imidazopyridine; 5-phenyl; piperidyl amide; azaindole right vs indole in rank 7,0.92
22,O=C(c1ccc2cc(-c3cc4cccc(C5CN(C(=O)C6CCCCC6)C5)c4n3CC3CC3)nn2c1)N1CCCCC1,16,6.942,0.485,1.527,4,True,False,TWYDFTDLDAMGKO-SUHSUELASA-N,Cc1c(-c2cc3cccc(C4CN(C(=O)[C@H]5CC[C@H](O)CC5)C4)c3n2CC2CC2)nn2cc(C(=O)N3CCC[C@@H](N)C3)ccc12,7.523,608.8,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole + N-alkylindole; N-azetidyl-cyclohexanamide pendant; piperidyl amide; azetidine-containing variant,0.85
23,O=C(c1ccc2cc(-c3cc4cccc(C5CNC5)c4n3CC3CC3)nn2c1)N1CCCCC1,16,6.293,0.529,1.981,0,False,False,CQGWPDDLIRVUCO-JWQCQUIFSA-N,COCC(=O)N1CC(c2cccc3cc(-c4nn5cc(C(=O)N6C[C@H](N)C[C@@H](F)C6)cc(OC)c5c4C)n(CC4CC4)c23)C1,7.301,602.7,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole + N-alkylindole; 3-azetidine-NH pendant; piperidyl amide; free amine azetidine variant vs rank 22,0.85
24,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,16,7.108,0.27,0.764,0,False,False,RXOPZPXJRLYRAF-KFACBJOOSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc(F)cc5)nc4n3CC3CC3)n(C)c12,7.495,564.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; chiral azabicyclic amide @ stereocenter; 5-phenyl; stereodefined variant of rank 1,0.97
25,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,15,7.329,0.304,1.052,0,False,False,DYIOKVJIADHXSW-UCDZCMRKSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5ccnc(CO)c5)nc4n3CC3CC3)n(C)c12,7.824,592.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; 4-aminopyridyl on azaindole; azabicyclic amide; bioisostere vs phenyl rank 1,0.95
26,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,15,6.994,0.664,2.657,0,False,False,IKTYIDRYTBVZJC-CGCOGMFASA-N,COc1cc(C(=O)N2CCC[C@@H](N)C2)cn2nc(-c3cc4cccc(C5CCN(C(=O)C6CC(O)C6)CC5)c4n3CC3CC3)c(C)c12,7.741,638.8,indazole-N-alkylindole biaryl amide derivatives,biaryl_heteroaromatic,indazole + N-alkylindole; 4-(cyclobutenecarbonyl-piperidyl) pendant; piperidyl amide; cyclobutyl-amide variant,0.85
27,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CCCCC1,15,6.672,0.522,1.506,0,False,False,HNOZNDSKJDORJI-VSGBNLITSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cc2nc(-c3cc4ccc(-c5ccc(C(=O)NCCO)cc5)cc4n3CC3CC3)n(C)c12,7.347,638.7,indole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH + N-alkylindole; 5-phenyl; piperidyl amide vs azabicyclyl rank 6; same biaryl core as ranks 6/16,0.93
28,O=C(c1ccn2cc(-c3cc4ccccc4[nH]3)nc2c1)N1CCCCC1,14,5.805,0.354,1.0,0,False,False,RVOKIGHZRCQGOZ-LJQANCHMSA-N,CCn1c(-c2nc3cc(C(=O)N4CCC[C@@H](N)C4)ccn3c2C)cc2ccccc21,6.0,401.5,"imidazo[1,2-a]pyridine-indole biaryl amide derivatives",biaryl_heteroaromatic,"left=imidazo[1,2-a]pyridine; right=NH-indol-2-yl unalkylated SMARTS: indole; piperidyl amide; free NH variant of rank 33",0.87
29,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CCCCC1,13,6.359,0.584,1.895,0,False,False,HKKJEORZMCXVRL-NHCUHLMSSA-N,COc1cc(C(=O)N2C[C@H](N)C[C@@H](F)C2)cn2nc(-c3cc4ccc(C)nc4n3CC3CC3)c(C)c12,7.125,490.6,indazole-azaindole biaryl amide derivatives,biaryl_heteroaromatic,indazole left + 4-azaindole right SMARTS: imidazopyridine; piperidyl amide; analogous to rank 34 with piperidyl vs azabicyclyl,0.92
30,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,12,6.99,0.671,2.631,0,False,False,NXLODQYXKFLXEG-BTDDGAACSA-N,CCOC(=O)Cn1cc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6[C@@H]7N)cc(OC)c5n4C)n(CC4CC4)c3n2)cn1,8.046,622.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine+pyrazole; 3-pyrazolyl on azaindole SMARTS: pyrazole confirmed; azabicyclic amide,0.93
31,O=C(CNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)NCc1ccccc1,12,5.719,0.328,1.104,0,False,False,PJHFHEHDIDEJBH-SANMLTNESA-N,NC(CCl)=NCCC[C@H](NC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)C(=O)NCc1ccccc1,6.102,567.1,indolyl bis-amide derivatives,diamide_scaffold,SMARTS: indole NH; two amide arms CNC=O and C=O-NCH2Ph; pyridine-fused indole beta-carboline-type; unusual NH-indole bis-amide,0.68
32,c1ccccc1,12,4.067,1.258,3.675,0,False,False,HBEIARVCIYYMOR-NSHDSACASA-N,NC(=O)[C@H](CCCN=C(N)CF)NC(=O)c1ccccc1C(=O)O,5.675,338.3,phenyl core degenerate Murcko scaffold,degenerate_scaffold,SMARTS: no heterocycle matches; bare benzene only HAC=6 MW=78; Murcko-stripped simple fragments; not a genuine chemotype,0.99
33,O=C(c1ccn2cc(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1,12,5.69,0.383,1.0,0,False,False,OXLUHOYSCBHWGY-OAQYLSRUSA-N,COc1ccc2cc(-c3nc4cc(C(=O)N5CCC[C@@H](N)C5)ccn4c3C)n(CC3CC3)c2c1,6.0,457.6,"imidazo[1,2-a]pyridine-N-alkylindole biaryl amide derivatives",biaryl_heteroaromatic,"left=imidazo[1,2-a]pyridine; right=N-cyclopropylmethylindol-2-yl SMARTS: indole_Nalk; piperidyl amide; rank 14 without N-benzyl",0.87
34,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CC2CCC1C2,12,7.209,0.495,1.501,0,False,False,NAJQUSSFNQOLTO-OWZGOFHBSA-N,Cc1c(-c2cc3ccc(C(C)(C)O)nc3n2CC2CC2)nn2cc(C(=O)N3CC4CCC3[C@@H]4N)ccc12,7.921,498.6,indazole-azaindole biaryl amide derivatives,biaryl_heteroaromatic,indazole + 4-azaindole SMARTS: imidazopyridine; azabicyclic amide; same core as rank 29 azabicyclyl vs piperidyl,0.92
35,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6ccnc6)c5n4CC4CC4)nc3cc21,11,7.513,0.591,1.293,0,False,False,DFTRMYDFWWJHOS-AUSIDOKSSA-N,C[C@H](COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H](N)CF)C5=O)n(CC3CC3)c12)n1cnc(F)c1,8.0,587.7,benzimidazolyl-dihydroisoquinolinone derivatives,tricyclic_lactam,benzimidazole_NH + dihydroisoquinolinone + N-alkylindole bearing imidazolyl-ethoxy pendant; SMARTS: BIM+indole_Nalk+oxindole+lactam,0.9
36,O=C(/C=C/c1ccccc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,11,4.569,0.428,0.939,0,False,False,NFESYUIIZFBADJ-FOWTUZBSSA-N,COc1ccc(/C=C/C(=O)c2c(-c3ccccc3)c3cc(C)ccc3n(C)c2=O)cc1,4.939,409.5,chalcone-oxindole derivatives,enone_warhead,SMARTS: chalcone_enone confirmed; phenyl aryl vs heteroaryl ranks 10/11; same 3-phenyloxindole core; simplest aryl variant,0.95
37,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ccno4)nc3cc21,11,6.587,0.269,1.135,0,False,False,NCVBQIBENRCKIJ-GOSISDBHSA-N,COc1cccc2cc(-c3nc4cc5c(cc4n3C)CCN(C[C@H](N)CF)C5=O)n(Cc3ccno3)c12,7.26,502.6,benzimidazolyl-dihydroisoquinolinone derivatives,tricyclic_lactam,benzimidazole_NH + dihydroisoquinolinone + N-isoxazolylmethyl-indol-2-yl; SMARTS: BIM+indole_Nalk+oxindole+lactam; isoxazolylmethyl N-substituent,0.88
38,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2,10,6.858,1.018,3.173,0,False,False,MCKVPEJPNNLEAP-TUNNFDKTSA-N,COc1cc(C(=O)N2[C@H]3CC[C@@H]2[C@H](N)C3)cc2nc(-c3cc4ccc(N(C)S(C)(=O)=O)nc4n3CC3CC3)n(C)c12,7.474,577.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; chiral norbornyl-type amide @@ stereocenters; 4-azaindole variant; SMARTS: BIM+imidazopyridine,0.95
39,O=C1CC(COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)CN1,10,7.136,0.333,1.04,0,False,False,QBXBCMGLHGMKAG-GWQXNCQPSA-N,Cc1c(-c2cc3cccc(OCC4CNC(=O)C4)c3n2CC2CC2)nn2cc(C(=O)N3CCC[C@@H](N)C3)cc(F)c12,7.761,558.7,indazolyl amide tethered lactam derivatives,hybrid_scaffold,SMARTS: indole_Nalk+piperidine; N-cyclopropylmethyl-BIM bearing ether-linked pyrrolidinone; indazolyl-piperidyl amide inner core; atypical tethered hybrid,0.72
40,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,7.11,0.149,0.501,10,True,True,YIUTYFHWNVNFKV-GMNDGQHTSA-N,COc1cc(C(=O)N2C[C@H](N)[C@H]3CC[C@@H]2C3)cc2nc(-c3cc4ccc([C@@H](C)NC(=O)C5CC5(F)F)nc4n3CC3CC3)n(C)c12,7.26,631.7,bis-benzimidazolyl biaryl diamide derivatives,biaryl_diamide,SMARTS: BIM_NH+Nalk+imidazopyridine+cyclopropylmethyl+piperidine; two BIM; benzylamine linker; chiral azabicyclic amide; cyclopropylcarbonyl; stereopair with rank 41,0.9
41,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,7.11,0.149,0.501,0,False,False,YIUTYFHWNVNFKV-ITWANUEWSA-N,COc1cc(C(=O)N2C[C@H](N)[C@@H]3CC[C@H]2C3)cc2nc(-c3cc4ccc([C@@H](C)NC(=O)C5CC5(F)F)nc4n3CC3CC3)n(C)c12,7.26,631.7,bis-benzimidazolyl biaryl diamide derivatives,biaryl_diamide,same core as rank 40; opposite @@ stereochemistry at azabicyclic amide; confirmed stereoisomer pair of rank 40,0.9
42,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,9,7.258,0.467,1.497,0,False,False,DXRUKQNLFQHENI-RXEARMEOSA-N,Cn1c(-c2cc3ccc(-c4ccc5c(c4)CC(=O)N5)nc3n2CC2CC2)nc2cc(C(=O)N3CC4CCC3[C@@H]4N)ccc21,7.62,571.7,bis-benzimidazolyl biaryl diamide derivatives,biaryl_diamide,BIM_NH+Nalk+imidazopyridine; 6-membered benzolactam left fused to BIM; azabicyclic amide; tricycle + diamide architecture,0.82
43,O=C(c1ccc2[nH]c(-c3cc4sccc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,9,7.287,0.14,0.419,0,False,False,ZWIAESBSGAIVDW-NDKUEENFSA-N,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cc4scc(CCC(C)(C)O)c4n3CC3CC3)n(C)c12,7.495,561.8,thienoimidazole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,BIM_NH left SMARTS confirmed; right=thienoimidazole thiophene-fused imidazole S replaces pyridine-N of azaindole; no imidazopyridine SMARTS; azabicyclic amide,0.88
44,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,6.878,0.238,0.762,0,False,False,XYYDQPSSSTUQLO-QZPZUKOXSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccnc(F)c5C)nc4n3CC3CC3)n(C)c12,7.114,579.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; 4-pyridyl on azaindole; azabicyclic amide; pyridyl bioisostere of rank 25,0.95
45,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,6.964,0.127,0.401,0,False,False,ZZDBZTVYHQTIOV-CXBZOWBPSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5cccc(C(N)=O)c5)nc4n3CC3CC3)n(C)c12,7.102,604.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; aniline Nc5ccccc5 on azaindole; azabicyclic amide; primary amine analogue; free amine may cause assay interference,0.95
46,O=C(CNC(=O)c1cc2c(cn1)[nH]c1ccccc12)NCc1ccccc1,9,5.829,0.39,1.294,0,False,False,WBVSLOZIPBGMGD-DEOSSOPVSA-N,CC(C)Cc1nc(C(=O)N[C@@H](CCCN=C(N)CCl)C(=O)NCc2ccccc2)cc2c1[nH]c1ccccc12,6.149,547.1,indolyl bis-amide derivatives,diamide_scaffold,SMARTS: indole NH; two amide arms; indole-fused heterocycle beta-carboline-type diamide; closely related to rank 31; low-potency series,0.68
47,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,8,7.233,0.311,0.988,0,False,False,SZVGMEAFHPBHFS-BYICHJTDSA-N,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)n(C)c12,7.824,613.7,azaindole-benzimidazole biaryl amide derivatives,biaryl_heteroaromatic,benzimidazole_NH+imidazopyridine; oxindolyl substituent on azaindole pyridine ring indolin-2-one pendant; azabicyclic amide; oxindolyl-decorated variant,0.9
